,dom
2020-03-16,0.5914801338599818
2020-03-17,0.4954216026098589
2020-03-18,0.46561109037956744
2020-03-19,0.56635466360066
2020-03-20,0.4625029432826261
2020-03-21,0.5745536974155199
2020-03-22,0.5174928835673589
2020-03-23,0.5188821233325679
2020-03-23,0.5938204267960233
2020-03-24,0.6161813464943993
2020-03-26,0.49747392723528017
2020-03-27,0.5611505406099366
2020-03-27,0.5776403727123771
2020-03-28,0.6021580970485563
2020-03-30,0.4855870301534722
2020-03-31,0.5447623547422902
2020-03-31,0.5405635756423759
2020-04-01,0.5875180068034337
2020-04-02,0.4881945155880303
2020-04-03,
2020-04-04,0.5717519100923214
2020-04-04,0.539704421205952
2020-04-05,0.5683741591423567
2020-04-06,
2020-04-07,0.6107703771236291
2020-04-08,0.529697641810092
2020-04-09,0.5656667053359054
2020-04-10,0.5737272976061514
2020-04-11,0.5941265253431472
2020-04-12,0.5287475831459378
2020-04-13,0.5750756902889611
2020-04-14,0.5495392284708989
2020-04-15,0.5898736843566862
2020-04-16,0.5053780078178163
2020-04-17,0.5681535939682002
2020-04-18,0.5628623811907234
2020-04-19,0.5764748605258003
2020-04-19,0.5071280470923502
2020-04-20,0.609496117998561
2020-04-22,0.501809043687487
2020-04-23,0.5528060514793898
2020-04-23,0.5676665650074214
2020-04-24,0.6224500961975435
2020-04-26,0.5132322464127278
2020-04-27,0.5808091369599697
2020-04-27,0.5909249424619206
2020-04-28,0.5662185722840086
2020-04-29,0.5163664659931921
2020-04-30,
2020-05-01,0.5645821133258139
2020-05-01,0.5616071325598244
2020-05-02,0.5809436579967633
2020-05-03,
2020-05-04,0.6486813195880476
2020-05-05,0.5995160864177163
2020-05-06,0.5593256906449291
2020-05-07,0.5786057072078653
2020-05-08,0.6129177503362916
2020-05-09,0.49804685644012564
2020-05-10,0.5705724602884701
2020-05-11,0.5428835083950874
2020-05-12,0.552892138972366
2020-05-13,0.5156389673430813
2020-05-14,0.5585308754795095
2020-05-15,0.5322959836153216
2020-05-16,0.4913421213336846
2020-05-16,0.5745470184544187
2020-05-17,0.7290146559852972
2020-05-19,0.50935089917036
2020-05-20,0.5728730625707046
2020-05-20,0.5835462705688838
2020-05-21,0.5854464775136908
2020-05-23,0.5615380367679185
2020-05-24,0.5910766007500771
2020-05-24,0.6394040427973251
2020-05-25,0.6090470225426994
2020-05-26,0.5146974072922728
2020-05-27,
2020-05-28,0.601517201098112
2020-05-28,0.5612304826157057
2020-05-29,0.6235082970080816
2020-05-30,
2020-05-31,0.633141035919424
2020-06-01,0.619186590608683
2020-06-02,0.5794985817904026
2020-06-03,0.6107638783939626
2020-06-04,0.5725454954262656
2020-06-05,0.5326882044660182
2020-06-06,0.589903275904764
2020-06-07,0.5987936293126522
2020-06-08,0.5541246948237256
2020-06-09,0.5724727087880718
2020-06-10,0.5221192438568182
2020-06-11,0.5000283670680497
2020-06-12,0.5488719298455206
2020-06-12,0.47907686201798005
2020-06-13,0.5978721464123875
2020-06-15,0.556429171176514
2020-06-16,0.5953066054896755
2020-06-16,0.6042470434567225
2020-06-17,0.5853927399843424
2020-06-19,0.5533214168758811
2020-06-20,0.5857300934509201
2020-06-20,0.5876965532836966
2020-06-21,0.5722004607642172
2020-06-22,0.5704524776482905
2020-06-23,
2020-06-24,0.6023103170392226
2020-06-24,0.5652279190501583
2020-06-25,0.5853121582154727
2020-06-26,
2020-06-27,0.6002293912860317
2020-06-28,0.58968547652353
2020-06-29,0.5871731133066227
2020-06-30,0.5765304079648225
2020-07-01,0.5983396273647903
2020-07-02,0.5961534342409648
2020-07-03,0.5679535944841365
2020-07-04,0.5578565127089046
2020-07-05,0.5997255335529609
2020-07-06,0.5959973747045011
2020-07-07,0.5797673289377528
2020-07-08,0.5601923098917572
2020-07-09,0.5947373516830258
2020-07-09,0.5771768705643324
2020-07-10,0.5878318510939932
