,dom
2020-03-31,0.49673742438764656
2020-04-01,0.5737148674382981
2020-04-02,0.5344636845184535
2020-04-03,0.5614186402670129
2020-04-04,0.499637815736776
2020-04-05,0.5867567128287557
2020-04-06,0.5861888434269233
2020-04-07,0.5852868890731742
2020-04-08,0.49293896343529514
2020-04-09,0.5897976563087959
2020-04-10,0.588232810344476
2020-04-11,
2020-04-11,0.5930342821022857
2020-04-12,0.6114193023158233
2020-04-14,0.5753561379124429
2020-04-15,0.5559135697067342
2020-04-15,0.5563566238067204
2020-04-16,0.6335012018149676
2020-04-18,0.5641029258332508
2020-04-19,0.5602714814941072
2020-04-19,0.5875782939262726
2020-04-20,0.5784394703364969
2020-04-21,0.553078913785422
2020-04-22,0.6366227713345999
2020-04-23,0.5799096763530827
2020-04-23,0.64940008356136
2020-04-24,0.6229662884284268
2020-04-25,
2020-04-26,0.6649633900874619
2020-04-27,0.5865757825475174
2020-04-28,0.5872588873271615
2020-04-29,0.5804294417124841
2020-04-30,0.5734998868606824
2020-05-01,0.5111841459873152
2020-05-02,0.6015103824951866
2020-05-03,0.6007811688807342
2020-05-04,0.6325403984344676
2020-05-05,0.5213640553601191
2020-05-06,0.5536539536572395
2020-05-07,0.5911248163708676
2020-05-08,
2020-05-08,0.6247548859107649
2020-05-09,0.757339918589446
2020-05-11,0.6097851079365689
2020-05-12,0.5962843234765063
2020-05-12,0.5524119827699657
2020-05-13,0.5759968971559415
2020-05-15,0.5837790328897989
2020-05-16,0.5798369777038084
2020-05-16,0.5467060566186326
2020-05-17,0.6324241931406472
2020-05-18,0.5496893418269969
2020-05-19,0.7409578218038642
2020-05-20,0.6477208948991414
2020-05-20,0.584483858909424
2020-05-21,0.573279608206791
2020-05-22,
2020-05-23,0.7264903880265566
2020-05-24,0.5747346919698458
2020-05-25,0.6408787825293327
2020-05-26,0.6304581324261149
2020-05-27,0.6669406208566842
2020-05-28,0.5729419648854266
2020-05-29,0.6426087597633475
2020-05-30,0.6107165545780849
2020-05-31,0.6204296291345058
2020-06-01,0.5952517964873172
2020-06-02,0.6126313025985474
2020-06-03,0.5410460063683763
2020-06-04,
2020-06-04,0.5872988972531095
2020-06-05,0.7004680347059846
2020-06-07,0.5950564546183621
2020-06-08,0.6131721547507739
2020-06-08,0.5851892273290732
2020-06-09,0.5824275798758904
2020-06-11,0.4745886973107202
2020-06-12,0.5542832772123385
2020-06-12,0.5490327059562321
2020-06-13,0.6400520734267451
2020-06-14,0.5079197346352058
2020-06-15,0.59253302030555
2020-06-16,0.567815446198446
2020-06-16,0.577242654358281
2020-06-17,0.5504344267913276
2020-06-18,
2020-06-19,0.6222541844473836
2020-06-20,0.582963102056752
2020-06-21,0.5617101635619216
2020-06-22,0.5844116272768414
2020-06-23,0.546824624104356
2020-06-24,0.5740384958935557
2020-06-25,0.5892689731259426
2020-06-26,0.5639890027964981
2020-06-27,0.5409013044899684
2020-06-28,0.5651162837505901
2020-06-29,0.589108363058976
2020-06-30,0.5084921746571217
2020-07-01,
2020-07-01,0.5901722202010615
2020-07-02,0.5975848458299495
2020-07-04,0.5867290582239084
2020-07-05,0.5922835911724614
2020-07-05,0.5514470823742078
2020-07-06,0.5996600307926474
2020-07-08,0.5932629011541822
2020-07-09,0.5619373686538625
2020-07-09,0.5657169742499453
2020-07-10,0.5883249953587238
2020-07-11,0.5828446098486822
2020-07-12,0.5843687777999605
2020-07-13,0.5516457658169444
2020-07-13,0.5838681223054677
2020-07-14,0.5839493489108573
2020-07-15,
2020-07-16,0.5958537763435807
2020-07-17,0.5828662620594368
2020-07-18,0.5437614195166738
2020-07-19,0.5634301778782654
2020-07-20,0.5921823055456056
2020-07-21,0.5528850501074237
2020-07-22,0.5796390254955963
2020-07-23,0.5860119310042694
2020-07-24,0.5602905120260089
2020-07-25,0.4985619246093453
2020-07-26,0.5299271454820902
2020-07-27,0.5965022168729803
2020-07-28,
2020-07-28,0.519783376826295
2020-07-29,0.5956484631689727
2020-07-31,0.5862065802585743
2020-08-01,0.5446752205340827
2020-08-01,0.5343480224076455
2020-08-02,0.5165456779655587
2020-08-04,0.49650593495072604
2020-08-05,0.5645577753320297
2020-08-05,0.542836277269899
2020-08-06,0.5820025659027616
2020-08-07,0.48215655430051346
2020-08-08,0.5241655067885185
2020-08-09,0.5883298224291567
2020-08-10,0.564025614512179
2020-08-11,0.5043939778901066
2020-08-12,0.5519506128360065
2020-08-13,0.5592983774618171
2020-08-14,0.5340146928580394
2020-08-15,0.5853402517002562
2020-08-16,0.5706269049550777
2020-08-17,0.5386648640984418
2020-08-18,0.5605117324951527
2020-08-19,0.5892782252434111
2020-08-20,0.5889487406845824
2020-08-21,0.485526355940518
2020-08-22,0.5960737259235861
2020-08-23,0.5075189790135839
2020-08-24,0.6088777996224616
2020-08-24,0.56412445417129
2020-08-25,0.5674176247079961
2020-08-27,0.5590587356652434
2020-08-28,0.5734829151802
2020-08-28,0.5440858744086415
2020-08-29,0.6125861306594712
2020-08-31,0.518055288018195
2020-09-01,0.5970462234478291
2020-09-01,0.6981957373948308
2020-09-02,0.6045839602741631
2020-09-03,0.516221722349454
2020-09-04,0.5840821338249269
2020-09-05,0.4880546162904252
2020-09-05,0.5881613971301556
2020-09-06,0.5445692571491313
2020-09-07,
2020-09-08,0.5501914380826582
2020-09-09,0.5581310190616638
2020-09-10,0.5379768821984473
2020-09-11,0.5368515421261969
2020-09-12,0.6113496919778473
2020-09-13,0.5126538282086462
2020-09-14,0.5221057209456809
2020-09-15,0.5521224524766468
2020-09-16,0.5160377983447477
2020-09-17,0.451256651660232
2020-09-18,0.5081791253193796
2020-09-19,0.42726256523149747
2020-09-20,
2020-09-20,0.597512587604404
2020-09-21,0.5711421555796292
2020-09-23,0.4687907653872438
2020-09-24,0.524366154267482
2020-09-24,0.5717313404856861
2020-09-25,0.5776359275957084
2020-09-27,0.5827413131116357
2020-09-28,0.45440431854063945
2020-09-28,0.5950099128357483
2020-09-29,0.48822136318706216
2020-09-30,0.3982536469655993
2020-10-01,0.504544430282556
2020-10-02,0.5441936119452282
2020-10-02,0.43892682217615353
2020-10-03,0.47319659213603044
2020-10-04,
2020-10-05,0.4888689961901093
